handa_kyushoku_menu_201810,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,10,1,ごはん,きのこごはんのぐ,★さんまのかばやき,★すいとん,,牛乳,689,880
2,232050,2018,10,2,ごはん,とりにくのバーベキューソースかけ,かんとうに,こまつなのおかかあえ,,牛乳,617,773
3,232050,2018,10,3,ごはん,★ぎょうざ（小２こ　中３こ）,マーボーどうふ,だいこんのナムル,,牛乳,626,809
4,232050,2018,10,4,うどん,カレーなんばん,れんこんチップス,やさいとこおりとうふのあえもの,,牛乳,609,718
5,232050,2018,10,5,ごはん,おやこに,キャベツとなまあげのみそいため,オレンジ,,牛乳,602,757
6,232050,2018,10,6,,,,,,,,
7,232050,2018,10,7,,,,,,,,
8,232050,2018,10,8,,,,,,,,
9,232050,2018,10,9,ごはん,ちくわのいそべあげ（２こ）,ごもくきんぴら,ぶたじる,★ひとくちピーチゼリー（小１こ　中２こ）,牛乳,593,744
10,232050,2018,10,10,ごはん,★さばのぎんがみやき,にくじゃが,きゅうりとたくあんのあえもの,,牛乳,628,792
11,232050,2018,10,11,ミルクロールパン,★チキンのたつたあげ,ミネストローネ,★リヨネーズポテト,,牛乳,676,838
12,232050,2018,10,12,ごはん,★ちらしずしのぐ,★キャベツいりつくね,さわにわん,,牛乳,559,714
13,232050,2018,10,13,,,,,,,,
14,232050,2018,10,14,,,,,,,,
15,232050,2018,10,15,ごはん,ビビンバ（にく）,ビビンバ（ナムル）,ワンタンスープ,★ヨーグルト,牛乳,600,790
16,232050,2018,10,16,わかめごはん,★いわしのうめに,ちくぜんに,りんご,,牛乳,577,732
17,232050,2018,10,17,むぎごはん,カレー,★いかフライ,ハムとやさいのマリネ,,牛乳,677,848
18,232050,2018,10,18,きしめん,ごもくわふうじる,きりぼしだいこんのごまずあえ,ひとくちやきいも（小２こ　中３こ）,,牛乳,666,819
19,232050,2018,10,19,ごはん,★あつやきたまご,ひきずり,ツナとほうれんそうのあえもの,,牛乳,572,721
20,232050,2018,10,20,,,,,,,,
21,232050,2018,10,21,,,,,,,,
22,232050,2018,10,22,ごはん,★ししゃもフライのレモンソース（２こ）,ぶたにくとだいこんのにもの,ひじきのいために,,牛乳,621,756
23,232050,2018,10,23,ごはん,チキンライスのぐ,★オムレツのデミソース,ポトフ,,牛乳,618,776
24,232050,2018,10,24,ごはん,★にくだんごのすぶた,ビーフンスープ,りんご,キャンディチーズ（小２こ　中３こ）,牛乳,606,774
25,232050,2018,10,25,クロロールパン,★てりやきハンバーグ,きのこのクリームスープ,キャベツのレモンふうみ,,牛乳,664,834
26,232050,2018,10,26,ごはん,★えびしゅうまい（小２こ　中３こ）,はっぽうさい,バンサンスー,,牛乳,593,768
27,232050,2018,10,27,,,,,,,,
28,232050,2018,10,28,,,,,,,,
29,232050,2018,10,29,ごはん,ハヤシライス,フランクフルトのハーブやき,まめまめサラダ,ごまドレッシング,牛乳,668,838
30,232050,2018,10,30,むぎごはん,ツナそぼろごはんのぐ,★けんちんしのだのにくみそかけ,のっぺいじる,,牛乳,715,895
31,232050,2018,10,31,ごはん,★はるまき,ぶたキムチいため,ちゅうかふうたまごスープ,,牛乳,627,790
